impl,transport,mode,size,conns,count,secs,rate_per_s,mb_per_s,X_us,Y_us,Z_us,failed
async,tcp,echo,64,1,200000,8.3681,23900,1.46,41.84,0,0,0
async,tcp,echo,64,4,200000,4.9858,40114,2.45,99.72,0,0,0
async,tcp,echo,64,16,320000,7.9265,40371,2.46,396.32,0,0,0
async,tcp,echo,1024,1,100000,4.9511,20198,19.72,49.51,0,0,0
async,tcp,echo,1024,4,100000,2.4007,41655,40.68,96.03,0,0,0
async,tcp,echo,1024,16,160000,4.1607,38455,37.55,416.07,0,0,0
async,tcp,echo,65536,1,20000,1.6066,12449,778.05,80.33,0,0,0
async,tcp,echo,65536,4,20000,1.0380,19267,1204.19,207.61,0,0,0
async,tcp,echo,65536,16,32000,1.5346,20852,1303.27,767.30,0,0,0
async,tcp,echo,1048576,1,500,0.5931,843,843.06,1186.15,0,0,0
async,tcp,echo,1048576,4,800,0.8838,905,905.22,4418.82,0,0,0
async,tcp,conn,0,1,1000,0.1849,5408,0,20.53,146.87,16.66,0
async,unix,echo,64,1,200000,5.8882,33966,2.07,29.44,0,0,0
async,unix,echo,64,4,200000,3.1355,63787,3.89,62.71,0,0,0
async,unix,echo,64,16,320000,4.9485,64666,3.95,247.42,0,0,0
async,unix,echo,1024,1,100000,3.1424,31823,31.08,31.42,0,0,0
async,unix,echo,1024,4,100000,2.6910,37161,36.29,107.64,0,0,0
async,unix,echo,1024,16,160000,6.4665,24743,24.16,646.65,0,0,0
async,unix,echo,65536,1,20000,2.9376,6808,425.51,146.88,0,0,0
async,unix,echo,65536,4,20000,2.3207,8618,538.62,464.15,0,0,0
async,unix,echo,65536,16,32000,1.6299,19633,1227.07,814.95,0,0,0
async,unix,echo,1048576,1,500,1.4195,352,352.24,2838.96,0,0,0
async,unix,echo,1048576,4,800,1.3001,615,615.34,6500.43,0,0,0
async,unix,conn,0,1,1000,0.1375,7274,0,29.51,97.02,8.26,0
