impl,transport,mode,size,conns,count,secs,rate_per_s,mb_per_s,X_us,Y_us,Z_us,failed
blocking,tcp,echo,64,1,200000,12.7249,15717,0.96,63.62,0,0,0
blocking,tcp,echo,64,4,200000,4.5595,43864,2.68,91.19,0,0,0
blocking,tcp,echo,64,16,320000,3.4902,91685,5.60,174.51,0,0,0
blocking,tcp,echo,1024,1,100000,5.5302,18083,17.66,55.30,0,0,0
blocking,tcp,echo,1024,4,100000,1.7889,55902,54.59,71.55,0,0,0
blocking,tcp,echo,1024,16,160000,1.6604,96362,94.10,166.04,0,0,0
blocking,tcp,echo,65536,1,20000,1.8408,10865,679.06,92.04,0,0,0
blocking,tcp,echo,65536,4,20000,0.7591,26347,1646.66,151.82,0,0,0
blocking,tcp,echo,65536,16,32000,0.7941,40297,2518.55,397.05,0,0,0
blocking,tcp,echo,1048576,1,500,1.2969,386,385.53,2593.80,0,0,0
blocking,tcp,echo,1048576,4,800,1.3851,578,577.59,6925.27,0,0,0
blocking,tcp,conn,0,1,2000,0.4812,4156,0,27.71,192.91,19.83,0
blocking,tcp,conn,0,4,2000,2.2734,880,0,43.56,4449.92,51.42,0
blocking,unix,echo,64,1,200000,8.9492,22348,1.36,44.75,0,0,0
blocking,unix,echo,64,4,200000,2.0073,99637,6.08,40.15,0,0,0
blocking,unix,echo,64,16,320000,2.2090,144865,8.84,110.45,0,0,0
blocking,unix,echo,1024,1,100000,3.9635,25230,24.64,39.63,0,0,0
blocking,unix,echo,1024,4,100000,0.9978,100217,97.87,39.91,0,0,0
blocking,unix,echo,1024,16,160000,1.1744,136236,133.04,117.44,0,0,0
blocking,unix,echo,65536,1,20000,1.3257,15086,942.88,66.29,0,0,0
blocking,unix,echo,65536,4,20000,0.4359,45882,2867.61,87.18,0,0,0
blocking,unix,echo,65536,16,32000,0.3574,89528,5595.50,178.72,0,0,0
blocking,unix,echo,1048576,1,500,0.6076,823,822.88,1215.24,0,0,0
blocking,unix,echo,1048576,4,800,0.2774,2883,2883.46,1387.22,0,0,0
blocking,unix,conn,0,1,2000,0.2802,7137,0,26.54,103.37,10.08,0
blocking,unix,conn,0,4,1857,0.1643,11302,0,54.62,270.39,18.44,1
