impl,transport,mode,size,conns,count,secs,rate_per_s,mb_per_s,X_us,Y_us,Z_us,failed
nonblocking,tcp,echo,64,1,200000,7.5792,26388,1.61,37.90,0,0,0
nonblocking,tcp,echo,64,4,200000,3.6211,55231,3.37,72.42,0,0,0
nonblocking,tcp,echo,64,16,320000,4.1850,76463,4.67,209.25,0,0,0
nonblocking,tcp,echo,1024,1,100000,3.7972,26336,25.72,37.97,0,0,0
nonblocking,tcp,echo,1024,4,100000,2.0190,49529,48.37,80.76,0,0,0
nonblocking,tcp,echo,1024,16,160000,2.1948,72900,71.19,219.48,0,0,0
nonblocking,tcp,echo,65536,1,20000,1.5934,12552,784.48,79.67,0,0,0
nonblocking,tcp,echo,65536,4,20000,0.9062,22071,1379.46,181.23,0,0,0
nonblocking,tcp,echo,65536,16,32000,1.0058,31815,1988.45,502.90,0,0,0
nonblocking,tcp,echo,1048576,1,500,0.5663,883,882.85,1132.69,0,0,0
nonblocking,tcp,echo,1048576,4,800,0.9835,813,813.42,4917.48,0,0,0
nonblocking,tcp,conn,0,1,1000,13.0289,77,0,74.95,12840.26,113.31,0
nonblocking,unix,echo,64,1,200000,6.3826,31335,1.91,31.91,0,0,0
nonblocking,unix,echo,64,4,200000,2.6211,76304,4.66,52.42,0,0,0
nonblocking,unix,echo,64,16,320000,2.9640,107964,6.59,148.20,0,0,0
nonblocking,unix,echo,1024,1,100000,2.8818,34701,33.89,28.82,0,0,0
nonblocking,unix,echo,1024,4,100000,1.1948,83695,81.73,47.79,0,0,0
nonblocking,unix,echo,1024,16,160000,1.4769,108332,105.79,147.69,0,0,0
nonblocking,unix,echo,65536,1,20000,1.0035,19930,1245.61,50.18,0,0,0
nonblocking,unix,echo,65536,4,20000,0.4023,49709,3106.84,80.47,0,0,0
nonblocking,unix,echo,65536,16,32000,0.6350,50396,3149.75,317.49,0,0,0
nonblocking,unix,echo,1048576,1,500,0.2424,2063,2063.01,484.73,0,0,0
nonblocking,unix,echo,1048576,4,800,0.3296,2428,2427.53,1647.77,0,0,0
nonblocking,unix,conn,0,1,1000,5.6934,176,0,36.19,5632.08,24.61,0
