impl,transport,mode,size,conns,count,secs,rate_per_s,mb_per_s,X_us,Y_us,Z_us,failed
blocking,tcp,echo,64,1,200000,12.7249,15717,0.96,63.62,0.0,0.0,0
blocking,tcp,echo,64,4,200000,4.5595,43864,2.68,91.19,0.0,0.0,0
blocking,tcp,echo,64,16,320000,3.4902,91685,5.6,174.51,0.0,0.0,0
blocking,tcp,echo,1024,1,100000,5.5302,18083,17.66,55.3,0.0,0.0,0
blocking,tcp,echo,1024,4,100000,1.7889,55902,54.59,71.55,0.0,0.0,0
blocking,tcp,echo,1024,16,160000,1.6604,96362,94.1,166.04,0.0,0.0,0
blocking,tcp,echo,65536,1,20000,1.8408,10865,679.06,92.04,0.0,0.0,0
blocking,tcp,echo,65536,4,20000,0.7591,26347,1646.66,151.82,0.0,0.0,0
blocking,tcp,echo,65536,16,32000,0.7941,40297,2518.55,397.05,0.0,0.0,0
blocking,tcp,echo,1048576,1,500,1.2969,386,385.53,2593.8,0.0,0.0,0
blocking,tcp,echo,1048576,4,800,1.3851,578,577.59,6925.27,0.0,0.0,0
blocking,tcp,conn,0,1,2000,0.4812,4156,0.0,27.71,192.91,19.83,0
blocking,tcp,conn,0,4,2000,2.2734,880,0.0,43.56,4449.92,51.42,0
blocking,unix,echo,64,1,200000,8.9492,22348,1.36,44.75,0.0,0.0,0
blocking,unix,echo,64,4,200000,2.0073,99637,6.08,40.15,0.0,0.0,0
blocking,unix,echo,64,16,320000,2.209,144865,8.84,110.45,0.0,0.0,0
blocking,unix,echo,1024,1,100000,3.9635,25230,24.64,39.63,0.0,0.0,0
blocking,unix,echo,1024,4,100000,0.9978,100217,97.87,39.91,0.0,0.0,0
blocking,unix,echo,1024,16,160000,1.1744,136236,133.04,117.44,0.0,0.0,0
blocking,unix,echo,65536,1,20000,1.3257,15086,942.88,66.29,0.0,0.0,0
blocking,unix,echo,65536,4,20000,0.4359,45882,2867.61,87.18,0.0,0.0,0
blocking,unix,echo,65536,16,32000,0.3574,89528,5595.5,178.72,0.0,0.0,0
blocking,unix,echo,1048576,1,500,0.6076,823,822.88,1215.24,0.0,0.0,0
blocking,unix,echo,1048576,4,800,0.2774,2883,2883.46,1387.22,0.0,0.0,0
blocking,unix,conn,0,1,2000,0.2802,7137,0.0,26.54,103.37,10.08,0
blocking,unix,conn,0,4,1857,0.1643,11302,0.0,54.62,270.39,18.44,1
nonblocking,tcp,echo,64,1,200000,7.5792,26388,1.61,37.9,0.0,0.0,0
nonblocking,tcp,echo,64,4,200000,3.6211,55231,3.37,72.42,0.0,0.0,0
nonblocking,tcp,echo,64,16,320000,4.185,76463,4.67,209.25,0.0,0.0,0
nonblocking,tcp,echo,1024,1,100000,3.7972,26336,25.72,37.97,0.0,0.0,0
nonblocking,tcp,echo,1024,4,100000,2.019,49529,48.37,80.76,0.0,0.0,0
nonblocking,tcp,echo,1024,16,160000,2.1948,72900,71.19,219.48,0.0,0.0,0
nonblocking,tcp,echo,65536,1,20000,1.5934,12552,784.48,79.67,0.0,0.0,0
nonblocking,tcp,echo,65536,4,20000,0.9062,22071,1379.46,181.23,0.0,0.0,0
nonblocking,tcp,echo,65536,16,32000,1.0058,31815,1988.45,502.9,0.0,0.0,0
nonblocking,tcp,echo,1048576,1,500,0.5663,883,882.85,1132.69,0.0,0.0,0
nonblocking,tcp,echo,1048576,4,800,0.9835,813,813.42,4917.48,0.0,0.0,0
nonblocking,tcp,conn,0,1,1000,13.0289,77,0.0,74.95,12840.26,113.31,0
nonblocking,unix,echo,64,1,200000,6.3826,31335,1.91,31.91,0.0,0.0,0
nonblocking,unix,echo,64,4,200000,2.6211,76304,4.66,52.42,0.0,0.0,0
nonblocking,unix,echo,64,16,320000,2.964,107964,6.59,148.2,0.0,0.0,0
nonblocking,unix,echo,1024,1,100000,2.8818,34701,33.89,28.82,0.0,0.0,0
nonblocking,unix,echo,1024,4,100000,1.1948,83695,81.73,47.79,0.0,0.0,0
nonblocking,unix,echo,1024,16,160000,1.4769,108332,105.79,147.69,0.0,0.0,0
nonblocking,unix,echo,65536,1,20000,1.0035,19930,1245.61,50.18,0.0,0.0,0
nonblocking,unix,echo,65536,4,20000,0.4023,49709,3106.84,80.47,0.0,0.0,0
nonblocking,unix,echo,65536,16,32000,0.635,50396,3149.75,317.49,0.0,0.0,0
nonblocking,unix,echo,1048576,1,500,0.2424,2063,2063.01,484.73,0.0,0.0,0
nonblocking,unix,echo,1048576,4,800,0.3296,2428,2427.53,1647.77,0.0,0.0,0
nonblocking,unix,conn,0,1,1000,5.6934,176,0.0,36.19,5632.08,24.61,0
async,tcp,echo,64,1,200000,8.3681,23900,1.46,41.84,0.0,0.0,0
async,tcp,echo,64,4,200000,4.9858,40114,2.45,99.72,0.0,0.0,0
async,tcp,echo,64,16,320000,7.9265,40371,2.46,396.32,0.0,0.0,0
async,tcp,echo,1024,1,100000,4.9511,20198,19.72,49.51,0.0,0.0,0
async,tcp,echo,1024,4,100000,2.4007,41655,40.68,96.03,0.0,0.0,0
async,tcp,echo,1024,16,160000,4.1607,38455,37.55,416.07,0.0,0.0,0
async,tcp,echo,65536,1,20000,1.6066,12449,778.05,80.33,0.0,0.0,0
async,tcp,echo,65536,4,20000,1.038,19267,1204.19,207.61,0.0,0.0,0
async,tcp,echo,65536,16,32000,1.5346,20852,1303.27,767.3,0.0,0.0,0
async,tcp,echo,1048576,1,500,0.5931,843,843.06,1186.15,0.0,0.0,0
async,tcp,echo,1048576,4,800,0.8838,905,905.22,4418.82,0.0,0.0,0
async,tcp,conn,0,1,1000,0.1849,5408,0.0,20.53,146.87,16.66,0
async,unix,echo,64,1,200000,5.8882,33966,2.07,29.44,0.0,0.0,0
async,unix,echo,64,4,200000,3.1355,63787,3.89,62.71,0.0,0.0,0
async,unix,echo,64,16,320000,4.9485,64666,3.95,247.42,0.0,0.0,0
async,unix,echo,1024,1,100000,3.1424,31823,31.08,31.42,0.0,0.0,0
async,unix,echo,1024,4,100000,2.691,37161,36.29,107.64,0.0,0.0,0
async,unix,echo,1024,16,160000,6.4665,24743,24.16,646.65,0.0,0.0,0
async,unix,echo,65536,1,20000,2.9376,6808,425.51,146.88,0.0,0.0,0
async,unix,echo,65536,4,20000,2.3207,8618,538.62,464.15,0.0,0.0,0
async,unix,echo,65536,16,32000,1.6299,19633,1227.07,814.95,0.0,0.0,0
async,unix,echo,1048576,1,500,1.4195,352,352.24,2838.96,0.0,0.0,0
async,unix,echo,1048576,4,800,1.3001,615,615.34,6500.43,0.0,0.0,0
async,unix,conn,0,1,1000,0.1375,7274,0.0,29.51,97.02,8.26,0
