impl,transport,size,conns,rate_per_s,mb_per_s,rtt_us
blocking,tcp,64,1,15717,0.96,63.62
blocking,tcp,64,4,43864,2.68,91.19
blocking,tcp,64,16,91685,5.6,174.51
blocking,tcp,1024,1,18083,17.66,55.3
blocking,tcp,1024,4,55902,54.59,71.55
blocking,tcp,1024,16,96362,94.1,166.04
blocking,tcp,65536,1,10865,679.06,92.04
blocking,tcp,65536,4,26347,1646.66,151.82
blocking,tcp,65536,16,40297,2518.55,397.05
blocking,tcp,1048576,1,386,385.53,2593.8
blocking,tcp,1048576,4,578,577.59,6925.27
blocking,unix,64,1,22348,1.36,44.75
blocking,unix,64,4,99637,6.08,40.15
blocking,unix,64,16,144865,8.84,110.45
blocking,unix,1024,1,25230,24.64,39.63
blocking,unix,1024,4,100217,97.87,39.91
blocking,unix,1024,16,136236,133.04,117.44
blocking,unix,65536,1,15086,942.88,66.29
blocking,unix,65536,4,45882,2867.61,87.18
blocking,unix,65536,16,89528,5595.5,178.72
blocking,unix,1048576,1,823,822.88,1215.24
blocking,unix,1048576,4,2883,2883.46,1387.22
nonblocking,tcp,64,1,26388,1.61,37.9
nonblocking,tcp,64,4,55231,3.37,72.42
nonblocking,tcp,64,16,76463,4.67,209.25
nonblocking,tcp,1024,1,26336,25.72,37.97
nonblocking,tcp,1024,4,49529,48.37,80.76
nonblocking,tcp,1024,16,72900,71.19,219.48
nonblocking,tcp,65536,1,12552,784.48,79.67
nonblocking,tcp,65536,4,22071,1379.46,181.23
nonblocking,tcp,65536,16,31815,1988.45,502.9
nonblocking,tcp,1048576,1,883,882.85,1132.69
nonblocking,tcp,1048576,4,813,813.42,4917.48
nonblocking,unix,64,1,31335,1.91,31.91
nonblocking,unix,64,4,76304,4.66,52.42
nonblocking,unix,64,16,107964,6.59,148.2
nonblocking,unix,1024,1,34701,33.89,28.82
nonblocking,unix,1024,4,83695,81.73,47.79
nonblocking,unix,1024,16,108332,105.79,147.69
nonblocking,unix,65536,1,19930,1245.61,50.18
nonblocking,unix,65536,4,49709,3106.84,80.47
nonblocking,unix,65536,16,50396,3149.75,317.49
nonblocking,unix,1048576,1,2063,2063.01,484.73
nonblocking,unix,1048576,4,2428,2427.53,1647.77
async,tcp,64,1,23900,1.46,41.84
async,tcp,64,4,40114,2.45,99.72
async,tcp,64,16,40371,2.46,396.32
async,tcp,1024,1,20198,19.72,49.51
async,tcp,1024,4,41655,40.68,96.03
async,tcp,1024,16,38455,37.55,416.07
async,tcp,65536,1,12449,778.05,80.33
async,tcp,65536,4,19267,1204.19,207.61
async,tcp,65536,16,20852,1303.27,767.3
async,tcp,1048576,1,843,843.06,1186.15
async,tcp,1048576,4,905,905.22,4418.82
async,unix,64,1,33966,2.07,29.44
async,unix,64,4,63787,3.89,62.71
async,unix,64,16,64666,3.95,247.42
async,unix,1024,1,31823,31.08,31.42
async,unix,1024,4,37161,36.29,107.64
async,unix,1024,16,24743,24.16,646.65
async,unix,65536,1,6808,425.51,146.88
async,unix,65536,4,8618,538.62,464.15
async,unix,65536,16,19633,1227.07,814.95
async,unix,1048576,1,352,352.24,2838.96
async,unix,1048576,4,615,615.34,6500.43
